,FL1-A,FL3-A
236,3514.571,3385.8696
237,5346.4385,3061.3328
238,3343.6484,3169.7122
239,5160.904,2955.2712
240,3658.4705,2729.7095
241,3751.1602,3101.0747
242,3606.7302,2110.8354
243,3617.406,3264.1614
244,3655.9773,3486.2068
245,3441.314,3243.9602
246,3556.4556,2607.9155
247,3528.3198,2479.5505
248,3415.0415,651.1766
249,3701.8074,3146.6646
250,3584.8513,1417.7102
251,3918.7065,3257.4907
252,3566.5315,2885.493
253,3987.379,2420.8262
254,4028.6582,3652.2197
255,3618.7285,1611.2579
256,5987.798,3877.401
257,5613.1167,3976.0547
258,3722.4492,2821.091
259,4001.4392,2438.7917
260,3655.9773,2535.0884
261,3958.2896,2299.629
262,3553.5486,830.722
263,3560.7925,2764.072
264,3541.794,3425.6711
265,3781.7598,2899.9402
266,3626.6086,2535.0884
267,3818.8171,3177.2373
268,3529.8303,2707.5288
269,3589.0085,2272.387
270,3396.9536,1642.1366
271,3659.7136,3329.6619
272,3589.0085,2817.143
273,3469.9219,2734.0796
274,3996.2954,1642.1366
275,3869.351,2371.395
276,3469.9219,3323.5815
277,3547.697,2885.493
278,3396.9536,2945.184
279,3407.863,918.9019
280,4530.187,3449.8528
281,3557.9043,3164.6523
282,3617.406,3678.0842
283,3599.97,1712.5894
284,6039.93,3859.3735
285,3391.4338,3103.8347
286,3409.6646,2345.8206
287,3752.2397,3550.6292
288,5577.7246,4203.8193
289,3528.3198,3122.8762
290,3473.2102,2095.1184
291,5974.0493,3959.8542
292,5296.291,4206.4673
293,3795.0227,1494.6222
294,3617.406,2729.7095
295,3541.794,3239.3928
296,3508.3696,2780.7556
297,3409.6646,1771.1696
298,3599.97,3243.9602
299,3887.1045,1406.559
300,5148.1846,2948.5608
301,3902.6733,1.6940659e-21
302,3423.911,507.60913
303,3436.1392,2055.043
304,3534.3416,2632.6306
305,3697.1309,3943.231
306,4248.363,1.6940659e-21
307,3270.7705,2507.7034
308,3378.3809,94.532394
309,3370.8105,2396.3918
310,3498.9597,3177.2373
311,3662.1926,2801.163
312,3441.314,2734.0796
313,3384.005,2156.9307
314,3389.584,2110.8354
315,3547.697,2991.1921
316,3315.392,1327.397
317,5107.49,3783.8179
318,3777.6238,3626.6086
319,3402.4297,2707.5288
320,3908.627,3451.5479
321,3758.6792,2055.043
322,3841.7668,1175.5704
323,3448.1536,560.0396
324,5424.7627,4084.9688
325,3765.0554,2496.5361
326,3887.1045,2237.4404
327,3456.6082,3617.406
328,3436.1392,2780.7556
329,3856.6255,3549.1648
330,3784.8447,121.47265
331,3494.2053,3081.4646
332,5852.3,4366.382
333,3819.7898,1054.9447
334,4729.174,3474.8484
335,3309.1868,3434.4055
336,3458.2866,2747.06
337,3654.727,2703.0254
338,4249.8433,2965.2314
339,3469.9219,3052.5388
340,3630.514,3429.1782
341,3503.681,2602.8936
342,3768.2205,2921.1392
343,3849.239,1258.0681
344,3635.6855,3560.7925
345,3591.7659,520.7393
346,5678.27,3892.3362
347,6041.1235,4374.905
348,3404.2456,2450.601
349,4360.2217,5240.144
350,3968.3916,2698.499
351,3751.1602,2513.241
352,4424.087,3095.5237
353,4135.4766,2237.4404
354,3917.0376,2055.043
355,3538.8228,1780.769
356,3420.3767,1246.3866
357,6480.751,4709.142
358,3736.9624,3532.841
359,3309.1868,282.36978
360,3389.584,2955.2712
361,3621.3657,3187.1519
362,3429.1782,1962.8628
363,6676.8315,5117.2646
364,3741.364,3177.2373
365,3327.641,3572.222
366,3482.9807,2881.8408
367,3682.8977,3052.5388
368,3575.049,2479.5505
369,3522.2437,3255.2532
370,3682.8977,1187.4579
371,5115.4663,3302.9268
372,3691.2378,2479.5505
373,3991.8528,3602.6821
374,5339.4297,3802.0535
375,6043.9937,4747.471
376,3517.6506,2981.5574
377,3643.368,1799.827
378,3494.2053,3072.902
379,3781.7598,2941.7932
380,3609.4153,2899.9402
381,3337.6882,2651.94
382,3423.911,2414.7695
383,3887.1045,2377.698
384,3618.7285,2496.5361
385,3846.447,3112.055
386,3370.8105,2377.698
387,3777.6238,3307.1062
388,3968.3916,664.12744
389,3429.1782,3415.0415
390,3359.2986,2179.3938
391,5292.807,3540.31
392,3863.928,2286.0864
393,3395.1184,3003.8567
394,3990.365,1.6940659e-21
395,3557.9043,3604.0344
396,3635.6855,1874.1725
397,3960.635,1.6940659e-21
398,3579.2676,2134.0796
399,6902.6543,5002.574
400,3704.1333,3389.584
401,3754.3933,3130.8906
402,5924.4634,3976.0547
403,3543.2747,3376.4958
404,3583.4597,2698.499
405,3489.4175,2046.8926
406,3484.5957,3169.7122
407,3597.2463,3709.912
408,3562.2317,2907.0686
409,3663.4287,1780.769
410,3359.2986,2828.9321
411,3623.9924,1.6940659e-21
412,3784.8447,2258.5288
413,3430.925,3378.3809
414,4109.497,2473.8254
415,3537.3323,1054.9447
416,3813.9316,2836.7002
417,6168.479,4434.4233
418,3489.4175,2747.06
419,3700.6414,3174.7375
420,3606.7302,3355.4187
421,3528.3198,3130.8906
