,FL1-A,FL3-A
238,3951.201,3617.406
239,5246.947,3968.3916
240,3587.6257,2013.8339
241,3809.9963,2698.499
242,3686.485,2110.8354
243,3255.2532,2490.9058
244,5326.9434,3678.0842
245,3566.5315,255.64964
246,3602.6821,2896.3523
247,5481.568,2805.1865
248,3556.4556,2496.5361
249,3589.0085,1828.0605
250,3685.2915,0.0
251,3587.6257,2632.6306
252,3474.8484,3372.7107
253,3906.0823,3192.059
254,6053.2344,3900.1045
255,3733.6416,2707.5288
256,3847.3792,1761.5231
257,5986.3804,4147.784
258,4766.943,3441.314
259,3261.9448,2720.9038
260,3809.9963,2551.1624
261,3500.537,1910.2128
262,4361.87,2408.6785
263,6432.1567,5142.1255
264,4641.654,3370.8105
265,3887.9795,3040.654
266,6725.4214,5104.319
267,4689.1577,830.722
268,5333.093,3317.4482
269,3583.4597,3519.185
270,4504.9175,3072.902
271,5453.043,3593.1401
272,3451.5479,3084.2976
273,3988.8738,1874.1725
274,3642.0938,2345.8206
275,3335.6902,2788.9773
276,3370.8105,1837.3773
277,3694.78,2592.7686
278,3347.5938,3250.7573
279,5019.824,3444.7422
280,3400.6091,3052.5388
281,4369.6426,3589.0085
282,3317.4482,2788.9773
283,3538.8228,2622.823
284,3904.38,2201.4744
285,4214.344,4755.3345
286,6141.0986,4101.427
287,3917.0376,2251.5398
288,4166.65,715.74646
289,3283.8079,2186.7961
290,3700.6414,792.5865
291,3855.7068,2859.579
292,6982.8887,5077.4404
293,3975.2925,3413.254
294,6633.2456,4926.0884
295,3378.3809,830.722
296,4496.0376,0.0
297,4076.576,3072.902
298,5168.1016,3396.9536
299,3404.2456,2848.2185
300,3839.8853,1569.4587
301,4528.932,1962.8628
302,3686.485,2955.2712
303,3873.8357,3000.71
304,3587.6257,2855.8096
305,4039.778,2071.2083
306,3784.8447,3025.5344
307,3614.7532,1874.1725
308,3950.4084,4166.0864
309,3943.231,3149.2612
310,6371.8555,4842.5483
311,3688.8657,2666.1602
312,3643.368,2479.5505
313,3788.935,0.0
314,3570.804,1222.9182
315,3784.8447,3503.681
316,3757.6104,1526.9543
317,6365.296,4405.955
318,5336.186,3686.485
319,5143.044,3169.7122
320,3575.049,1042.7155
321,3311.2612,2149.3572
322,5855.483,4786.0186
323,3658.4705,3232.487
324,3317.4482,3451.5479
325,3617.406,3427.4268
326,6271.017,4705.15
327,3309.1868,3859.3735
328,3627.913,3106.5847
329,5864.2715,3997.0327
330,3489.4175,2319.653
331,3862.11,2134.0796
332,3264.1614,2126.3755
333,3487.814,2592.7686
334,3395.1184,2907.0686
335,4162.1284,3019.4026
336,3541.794,2513.241
337,5941.9185,4062.113
338,4646.0806,2991.1921
339,4374.5015,2828.9321
340,3528.3198,1304.4346
341,6833.2363,5099.161
342,4449.253,3349.5583
343,3690.0527,2817.143
344,3650.9624,3000.71
