,FL1-A,FL3-A
239,5361.339,3565.1013
240,4055.4277,3355.4187
241,5084.8096,3721.3193
242,4751.634,3458.2866
243,5083.039,2910.6091
244,3854.7869,4621.1924
245,3473.2102,3432.6675
246,3494.2053,2896.3523
247,3384.005,1980.0387
248,3602.6821,3657.225
249,3587.6257,2689.3772
250,5433.0596,3311.2612
251,5718.364,3822.6992
252,3288.1013,2414.7695
253,3648.4407,4062.7776
254,5079.355,3349.5583
255,5168.3213,3672.0173
256,3791.986,4404.42
257,5011.189,3046.6196
258,4716.5864,215.49402
259,5175.323,3790.9707
260,4124.1294,3597.2463
261,5317.041,3760.8115
262,3878.289,3549.1648
263,3746.8245,4059.4473
264,4777.4976,4817.1978
265,5259.3813,2981.5574
266,5377.7515,4110.7295
267,4324.981,3660.9543
268,4785.6055,5021.228
269,5341.169,4166.0864
270,5132.7466,3736.9624
271,5193.643,3763.997
272,5307.4985,6150.336
273,3790.9707,2617.8801
274,4486.0186,4741.7285
275,5755.3325,6373.245
276,4671.7417,5568.6562
277,5064.3906,8.4703295e-22
278,5093.5854,4131.9155
279,3837.9983,3243.9602
280,3514.571,3872.9414
281,5810.7993,4114.4126
282,3698.303,3395.1184
283,3359.2986,1980.0387
284,4816.805,3164.6523
285,3418.603,3937.5923
286,3384.005,2535.0884
287,6164.459,4686.006
288,5250.896,3489.4175
289,3654.727,2768.2734
290,3380.2605,2396.3918
291,4062.7776,3602.6821
292,5212.3467,3385.8696
293,3647.176,4380.9214
294,4380.9214,4539.826
295,6243.2656,4655.862
296,4849.841,5423.0317
297,3938.401,8.4703295e-22
298,4856.128,3915.3643
299,5515.784,5032.757
300,5677.56,3777.6238
301,4172.2563,3413.254
302,3643.368,3444.7422
303,4081.754,2994.3777
304,3948.025,3061.3328
305,3509.9253,3239.3928
306,4771.6094,3744.6458
307,3813.9316,375.5472
308,4045.948,4697.564
309,4936.0107,3270.7705
310,3534.3416,3864.8352
311,6939.284,5095.822
312,3366.9941,2734.0793
313,4015.9106,4265.422
314,3569.3828,2948.5608
315,6127.107,4285.295
316,3639.5378,2038.6964
317,7437.961,5500.604
318,3601.3274,2809.1907
319,3300.8276,2968.5237
320,3707.6067,3264.1614
321,4456.0063,4402.11
322,6024.223,4500.6577
323,5341.4995,4233.865
324,4489.0415,4866.163
325,3389.584,843.3894
326,5408.3364,3486.2068
327,6094.347,4943.547
328,5107.49,2828.9321
329,5564.7847,3963.749
330,5065.4346,5585.0596
331,3413.254,2821.091
332,3290.2383,2632.6306
333,4013.0427,4380.9214
334,3543.2744,2237.4404
335,4343.064,779.83136
336,3415.0415,3420.3767
337,5254.629,3913.6865
338,3825.5955,1187.4579
339,3679.291,4136.0684
340,5779.337,4429.277
341,3479.7395,2622.823
342,4764.5957,4547.491
343,3883.593,3664.6626
344,3420.3767,3363.157
345,3829.4373,3281.6514
346,3761.875,3095.5237
347,5057.4287,2716.468
348,3517.6506,4019.4775
349,3823.666,4060.1147
350,4925.7603,8.4703295e-22
351,5253.387,2237.4404
352,3675.664,1558.8982
353,3647.176,4034.2427
354,6461.145,4619.8394
355,4843.676,779.83136
356,3909.4731,1461.9086
357,3621.3657,2551.1624
358,3584.8513,3700.6414
359,5273.696,2179.3938
360,3837.0525,4621.4624
361,3576.4583,4422.223
362,3508.3696,2968.5237
363,4274.9644,4036.324
364,3638.2563,3223.1755
365,3875.6208,3149.2612
366,3747.9111,3385.8696
367,5084.4307,3730.304
368,4026.5515,3706.451
369,5150.908,2698.499
370,3627.913,3337.6882
371,5883.296,4355.2485
372,5255.201,3880.062
373,5530.9546,3597.2463
374,6022.4346,3979.0942
375,3353.4707,2390.196
376,6626.61,4741.9507
377,3517.6506,1127.6947
378,5513.861,3391.4336
379,5133.912,3741.364
380,3498.9597,3376.4958
381,5995.2275,3714.4988
382,3404.2456,3432.6675
383,3430.925,2978.319
384,3617.406,3949.615
385,3492.6133,3223.1755
386,3391.4336,2844.3967
387,4655.6064,2885.493
388,5976.2476,4720.275
389,5157.441,3031.618
390,4634.5566,5235.238
391,5756.539,4043.2134
392,3429.1782,2945.184
393,3333.6865,3543.2744
394,5461.2344,8.4703295e-22
395,4115.6353,2468.0679
396,3305.0195,2408.6785
397,3409.6646,4210.6807
398,3723.5771,3751.1602
399,5459.945,3192.059
400,6278.4546,4440.6157
401,6021.6587,3095.5237
402,3302.9268,3444.7422
403,5439.068,3569.3828
404,3570.804,3067.1394
405,3355.4187,1526.9543
406,3409.6646,2110.8354
407,3705.2932,3133.543
408,3391.4336,2450.601
409,3378.3809,2978.319
410,3750.079,2809.1907
411,3801.0537,2698.499
412,3478.113,2156.9307
413,3537.3323,3594.5117
414,5433.2017,3941.625
415,3909.4731,4564.025
416,3810.9824,3309.1868
417,5302.935,3647.176
418,3605.3835,1761.5231
419,3894.936,4604.483
420,3479.7395,2921.1392
421,5644.8994,3133.543
422,3270.7705,1516.2197
423,5144.19,3938.401
424,3400.6091,3351.517
425,4352.747,5194.908
426,3589.0085,2473.8254
427,4287.619,4946.091
428,3355.4187,3199.359
429,7018.0703,5130.174
430,3705.2932,2885.493
431,5423.465,2768.2734
432,3765.0554,2896.3523
433,3723.5771,2896.3523
434,5696.955,4188.781
435,3794.012,8.4703295e-22
436,3713.3552,2079.2231
437,5523.9673,3944.833
438,6191.002,4612.2095
439,4197.4185,4361.4585
440,4449.6104,5262.78
441,3755.4673,2642.3357
442,5209.6807,1516.2197
443,4270.2114,4732.787
444,4550.8335,5442.085
445,3309.1868,4176.7056
446,4093.884,2885.493
447,5290.024,5592.47
448,3617.406,2237.4404
449,3580.668,3846.447
450,3844.579,4631.641
451,5370.547,3266.371
452,3466.6177,4560.7534
453,3309.1868,3095.5237
454,3546.226,3285.9578
455,4105.785,2921.1392
456,3508.3696,4086.2502
457,5185.034,3302.9268
458,3652.2197,2408.6785
459,6063.3354,4564.025
460,5753.0796,4493.7144
461,6306.335,4561.6475
462,5410.4053,3657.225
463,3453.2388,3608.0742
464,3643.368,3962.1938
465,5232.374,3513.026
466,3283.8079,2870.7854
467,3818.8171,3130.8906
468,4917.6665,3130.8906
469,3932.719,3623.9924
470,3800.0525,4756.4185
471,5477.6875,6109.413
472,5342.2427,3633.1047
473,3305.0195,2306.342
474,3415.0415,3461.6313
475,4765.6636,3120.1855
476,4208.051,4822.858
477,5310.029,2958.6052
478,3505.2476,4151.257
479,4194.1934,2863.3315
480,4757.501,3266.371
481,3508.3696,4226.744
482,3886.2285,3019.4026
483,3552.0906,3003.8567
484,3275.1428,3218.4744
485,3441.314,573.10864
486,4742.1724,3591.7659
487,3370.8105,2414.7695
488,4086.89,3717.918
489,3513.026,3159.5576
490,5184.606,2582.5347
491,3622.6804,3565.1013
492,4097.6665,4486.6914
493,3323.5815,3128.2288
494,5512.243,3201.776
495,3514.571,2456.456
496,4995.008,3511.4775
497,5761.4653,4278.7407
498,3317.4482,3022.4746
499,3693.6013,3206.5862
500,5095.946,3806.037
501,5743.8545,3174.7373
502,4928.87,3103.8347
503,6960.54,4939.389
504,3446.45,4208.5776
505,6085.3354,4327.5967
506,5144.762,3926.9863
507,4239.4043,4651.248
508,3359.2986,2907.0686
509,3300.8276,3655.9773
510,4323.669,4928.217
511,3341.6672,2365.0562
512,3378.3809,4073.9707
513,3733.6416,1988.5569
514,3626.6086,2332.812
